0.8924,0.8905,0.8918,0.892,0.8911,0.8914,0.8911,0.8914,0.8912,0.8913,
0.8905,0.8914,0.8912,0.8914,0.891,0.8914,0.8915,0.8914,0.8914,0.8914,
0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,
0.8957,0.889,0.893,0.8911,0.891,0.8914,0.8908,0.8914,0.8892,0.8909,
0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,
0.8982,0.8922,0.8903,0.8915,0.8914,0.8914,0.8905,0.8914,0.8956,0.8913,
0.8699,0.894,0.8925,0.8937,0.8928,0.8909,0.893,0.8914,0.8973,0.8908,
0.8912,0.8914,0.8913,0.8914,0.8914,0.8914,0.8914,0.8913,0.8914,0.8913,
0.8868,0.891,0.8931,0.8916,0.8919,0.8913,0.8917,0.8914,0.8914,0.8914,
0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,
0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,
0.8904,0.8906,0.8916,0.8915,0.8913,0.8913,0.8918,0.8914,0.8914,0.8914,
0.9086,0.8866,0.8875,0.8918,0.8907,0.8918,0.8894,0.8914,0.8928,0.8916,
0.8904,0.8918,0.8906,0.8914,0.8911,0.8914,0.8919,0.8913,0.8908,0.8914,
0.9138,0.8866,0.8909,0.8914,0.8918,0.8915,0.8924,0.8914,0.873,0.8912,
0.8946,0.8886,0.8946,0.8891,0.8911,0.8919,0.8904,0.8914,0.8919,0.8906,
0.8942,0.8914,0.8904,0.891,0.8912,0.892,0.891,0.8914,0.8916,0.891,
0.8916,0.8914,0.8914,0.8914,0.8914,0.8914,0.8915,0.8914,0.8906,0.8914,
0.8942,0.8969,0.8906,0.8899,0.8883,0.8914,0.8904,0.8912,0.8898,0.8915,
0.8906,0.8914,0.8911,0.8914,0.8914,0.8914,0.8913,0.8914,0.8914,0.8914,
0.882,0.8939,0.8931,0.893,0.8914,0.8914,0.8928,0.891,0.8929,0.8916,
0.8916,0.8914,0.8912,0.8914,0.8912,0.8914,0.8914,0.8914,0.8914,0.8912,
